data;tmin;tmax;tmed
04/01/2002;28;11.8;20.7
05/01/2002;26;17.6;20.4
06/01/2002;27;16.5;22.1
07/01/2002;27.8;13.5;20.9
08/01/2002;30.4;12;22.5
09/01/2002;28.8;18;22
10/01/2002;24;14.8;19
11/01/2002;24.6;16.8;19.7
12/01/2002;28.5;15.4;19.5
13/01/2002;24.7;14.5;20.1
14/01/2002;26.6;16.8;21.7
15/01/2002;22;16.8;18.1
16/01/2002;22.2;7.8;15.1
17/01/2002;23;7.2;15.8
18/01/2002;25.2;11;17.7
19/01/2002;25.6;11.6;18.9
20/01/2002;28;16;20.8
21/01/2002;29.6;15.4;22.4
22/01/2002;25.4;18.4;20.6
23/01/2002;27;17.4;20.6
24/01/2002;26.4;16.4;20.5
25/01/2002;26.5;18;21.6
26/01/2002;27;16;21.7
27/01/2002;27.5;17;22.6
28/01/2002;24;17.5;20.2
29/01/2002;27;13.8;20.4
30/01/2002;28.4;15.4;21.9
31/01/2002;28.6;17.2;21
01/02/2002;24;13.4;19.4
02/02/2002;24;9.6;17
03/02/2002;24.4;11;17.8
04/02/2002;25;13.4;18.1
05/02/2002;26.5;14.4;19.7
06/02/2002;23;14;18.4
07/02/2002;24;15.4;18
08/02/2002;25.5;13.4;18.8
09/02/2002;25.4;14;18.9
10/02/2002;26.5;10.4;18.6
11/02/2002;29;11.6;20.4
12/02/2002;28;15;20.6
20/10/2002;22.8;15.6;18.2
21/10/2002;19.6;13.4;16.7
22/10/2002;20;9.4;12.8
23/10/2002;16.5;7.6;12.9
24/10/2002;25.5;12;17.2
25/10/2002;18.4;14.8;16.5
26/10/2002;20.4;12.4;16.7
27/10/2002;26;13;18.9
28/10/2002;25.2;15.4;19.5
29/10/2002;22;16.2;18.9
30/10/2002;19.2;15.8;17.2
31/10/2002;18.8;13.6;15.6
01/11/2002;23.5;13;17.8
02/11/2002;26.4;14.8;19.4
03/11/2002;30.5;15;21.9
04/11/2002;21.8;15;17
05/11/2002;22.6;11.4;16.2
06/11/2002;20;12.2;14.6
07/11/2002;19.4;10.8;14
08/11/2002;21.8;8.6;14.2
09/11/2002;28.5;11.8;19.5
10/11/2002;21;14.2;16.3
11/11/2002;20.5;8.2;13.7
12/11/2002;25.2;6;16.5
13/11/2002;24.6;9.6;17.6
14/11/2002;23.5;13.2;18.1
15/11/2002;27.2;12.6;20.8
16/11/2002;26.5;15.8;20.5
17/11/2002;29;15;21.6
18/11/2002;27.6;15.4;20.3
19/11/2002;28.5;11;20.8
20/11/2002;30.5;18.8;21.9
21/11/2002;25.6;16.6;21.3
22/11/2002;21.5;16.2;17.8
23/11/2002;28.8;14;20.9
24/11/2002;31;16.4;24.1
25/11/2002;30.5;18.2;22.1
26/11/2002;29;18.8;24
